sector,week_52_low,pc,symbol,bse_price,pb,nse_price,week_52_high,pe,book_value,industry_pe
COMPUTERS - SOFTWARE,706.40,-,HCLTECH,792.45,,791.05,989.70,-,193.45,18.34
COMPUTERS - HARDWARE,30.15,-,HCL-INSYS,41.60,,41.70,66.85,-,45.22,24.74
ELECTRIC EQUIPMENT,235.30,-,HAVELLS,408.60,,408.95,433.55,-,40.92,51.12
BANKS - PRIVATE SECTOR,928.00,-,HDFCBANK,1277.05,,1277.50,1318.45,-,291.90,22.68
FINANCE - GENERAL,683.18,-,HDFCNIFETF,,,871.10,1028.90,-,,-
FINANCE - INVESTMENTS,2267.00,-,HDFCMFGETF,2939.95,,2912.75,2945.00,-,,-
FINANCE - GENERAL,2.00,-,HDFCSENETF,2911.20,,2885.00,3388.00,-,,-
ELECTRODES & GRAPHITE,115.00,-,HEG,172.00,,172.25,203.20,-,249.46,18.10
CONSTRUCTION & CONTRACTING - REAL ESTATE,55.65,13.24,HDIL,77.30,,77.30,108.70,13.54,257.20,26.62
AUTO - 2 & 3 WHEELERS,2301.60,-,HEROMOTOCO,3428.50,,3428.25,3740.00,-,398.25,23.47
PHARMACEUTICALS,363.00,-,HESTERBIO,723.00,,726.95,825.00,-,118.39,29.36
FINANCE - INVESTMENTS,12.60,-,HEXATRADEX,17.60,,16.60,21.90,-,39.90,28.75
CEMENT - MAJOR,59.65,-,HEIDELBERG,131.45,,131.85,144.90,-,,54.64
COMPUTERS - SOFTWARE,,12.65,HEXAWARE,185.85,,186.40,273.60,14.20,55.79,18.34
TELECOMMUNICATIONS - EQUIPMENT,14.10,-,HFCL,14.95,,15.00,24.65,-,8.04,10.11
FOOD PROCESSING,380.30,19.81,HERITGFOOD,817.45,,821.30,956.00,30.98,103.41,59.26
ENGINEERING,127.10,-,HERCULES,153.00,,147.85,197.40,-,,24.51
COMPUTERS - SOFTWARE,363.10,3.89,HGS,513.00,,512.15,625.00,7.78,568.40,18.34
PHARMACEUTICALS,107.05,-,HIKAL,203.50,,198.90,216.35,-,55.74,29.36
CEMENT - PRODUCTS & BUILDING MATERIALS,421.00,-,HIL,607.00,,602.55,774.90,-,,36.77
TEXTILES - SYNTHETIC & SILK,144.60,11.74,HIMATSEIDE,262.20,,263.45,297.00,15.08,99.87,15.27
